NIDID,WATER,WETLANDS,SHRUB,GRASS,PASTURE,CROPS,BARREN,Urban,Forest,CLUSTER
UT10132,1.4,1.5,52.7,22.2,1.5,3.1,0,0,17.3,1
ID00319,2.5,0.5,8.2,13.9,3.6,1.9,2.8,0.3,66.1,1
TX04627,8.3,0.2,3.5,50.3,9.3,7.8,1.6,1.7,17.1,1
AR00562,2.9,0.4,0.2,0,42.1,1.4,0.3,0.2,52.3,1
KS00013,0.3,0.5,0.7,61.9,5,30.6,0.5,0.1,0.2,1
MS02490,0.6,10,0,0,9.5,5.1,3.4,0.2,71,1
NC00391,4.9,0,0,0,5.8,0.7,0,0.3,88.1,1
TX00988,0.6,0,47.4,27.5,1.6,17.1,0.9,0.9,3.8,1
IL00012,6.7,1.7,0,0.9,26.8,9.6,0.2,0.3,53.6,1
UT10121,0.7,0,52.6,9.8,16.7,0,0.2,0.9,18.9,1
AR00173,4.6,0.3,0.1,0,12.6,0.4,0.1,0.5,81.3,1
CA10139,0,0.3,69.8,12.5,0,0,2.5,0.1,14.7,1
KS00019,0,0.1,0.9,59.5,2.3,36.4,0.5,0,0.2,1
LA00018,0.8,9.8,0,0,1.5,1,2.6,0.1,84.1,1
NC00787,4,0.5,0,0,7.1,5.8,0.4,6.5,75.6,1
NV00226,0.1,0.6,84,3.1,2,0,0.8,0,9.3,1
NY00374,0.4,6.9,0,0,1.8,0.2,0,0,90.6,1
OK01362,6.2,0.1,0.3,45.4,9.9,0.3,0.3,0,37.4,1
OK11032,6.2,0.1,0.3,45.4,9.9,0.3,0.3,0,37.4,1
PA00010,2.9,1.5,0,0,18,2.5,0.4,3,71.6,1
TX00330,3.6,3.5,0,0,29.7,1.4,0.6,0.3,60.8,1
WI00771,13.2,20.8,0,0.1,2,2.3,0.3,0.4,60.8,1
WY01380,0.2,1.3,19.7,73.1,0.5,3.6,0.4,0.3,0.8,1
AR01422,2.7,1.3,0,0,38.3,1,0,0,56.6,1
AR00160,3.9,0.4,0.4,0.5,33.3,1.2,0.2,1.8,58.2,1
AR00159,0.8,0.2,0.3,0,30.3,1.1,1.1,0.2,65.9,1
AR00901,1.2,0,0,0,12.4,0.1,0.4,0.1,85.7,1
CO01143,0.9,0,4.9,29.7,0.2,0.1,26.9,0,37.2,1
GA00843,1.2,0,0,0,1.9,0.5,0.4,0.7,95.2,1
GA00851,1.2,0,0,0,1.9,0.5,0.4,0.7,95.2,1
KS00025,0.5,1,0.3,61.6,5,30.9,0.2,0.3,0.1,1
KY03012,0.1,0,0,0,30.4,29.6,0,2.5,37.3,1
KY00088,1.8,0,0,0,12.6,1.9,0.4,4.4,78.8,1
LA00007,4,4.6,0,0,8.3,34.9,1.1,8,39,1
MS00579,1.4,3.9,0,0,21.3,6.5,0.7,5.7,60.4,1
MT00223,2,0.5,8.4,14.7,3.6,2,2.6,0.3,65.8,1
NC00298,0.5,0.1,0,0,4.1,1.1,0.2,1,92.9,1
OK10314,3.3,0,0.4,57.3,2.5,0.3,1.9,0.7,33.5,1
OK20508,3.3,0,0.4,57.3,2.5,0.3,1.9,0.7,33.5,1
PA00869,2.6,1.1,0,0,54.7,11.8,0.4,2.8,26.5,1
TX00022,0,0,72.4,17.5,0.2,9,0.3,0.2,0.3,1
TX00987,0.6,0,47.6,26.3,1.6,14.7,0.8,0.9,7.4,1
TX01417,1.9,0,31.1,44.8,3.4,8.1,0.4,2.3,7.9,1
TX01496,2.5,0.1,13.6,50.7,12.2,3.7,0.4,0.6,16.1,1
TX04388,8.9,3.4,0,0,61.5,4.2,0.2,0.7,21,1
UT10136,2.1,0,45.3,7,0.3,0,1,0.1,44.1,1
VA00501,1.2,0.1,0,0,10.3,0.9,0.4,0.3,86.7,1
VA08901,0.9,0.1,0,0,22.3,0.8,0.1,0.2,75.5,1
TX00012,0.2,0,79.2,15.3,0.4,3.4,0.5,0.4,0.5,1
KS00022,0.1,0.7,0.1,52.9,5.9,39,0.1,0.1,1.1,1
NV10119,1.3,1.2,75.1,20.3,1.3,0.1,0,0.1,0.6,1
TX00006,0.8,0.1,40,37.3,3,11,1.1,2.1,4.6,1
NM00293,0.4,0,17.9,58.9,0.4,0.3,0.1,0,22,1
OK11103,23.8,0.4,0.2,61.4,3,6.1,0.3,0.3,4.5,1
TX01691,1.6,0,32.1,9.3,0.8,54.5,0.8,0.6,0.3,1
AL01420,1.4,0,0,0,7.2,1.6,7.7,0.9,81.2,1
AL83001,1.4,1,0,0,12.6,4.5,1.2,1.6,77.7,1
AL05901,2.2,0,0,0,17.1,8.3,1.5,0.8,70.1,1
AL05902,3.3,0.2,0,0,11.4,3.6,4.5,1.5,75.5,1
AL07702,0.8,3.9,0,0,26.2,23.1,0.5,0.4,45.1,1
AR00151,4.1,0.3,0,0,12,0.2,0.6,0.4,82.4,1
AR00001,0,0,0,0,0.1,0,0.4,0,99.5,1
AR01451,13.2,0.5,0,0,7.1,0.2,0.1,1.9,77,1
AR00081,10.4,0.3,0,0,1.8,0.2,0.5,0.1,86.7,1
AR01522,0.6,0.4,0.2,0,13.6,0.3,1,0.1,83.8,1
AR00154,0.1,0.1,0,0,4,0,1.7,0.2,93.9,1
AR01217,13.2,0.5,0,0,7.1,0.2,0.1,1.9,77,1
AR00695,1.2,6.2,0,0,24.3,29.9,0.2,1,37.2,1
AR00446,1.5,0.2,0.4,0,14.8,0.6,0.1,0.3,82.1,1
CO01281,1.2,0,17.4,27.3,1.7,0,0.3,0.7,51.4,1
CO00875,2.3,0,22,8.8,0,0,0.1,3.5,63.3,1
CO01656,15.5,0,14.6,13.5,0,0,0,0,56.4,1
CT00376,7.9,3.4,0,0,0.8,1.6,0.1,1.1,85.1,1
GA00847,2.9,0,0,0,0.7,0.1,0.1,0,96.2,1
GA04557,13.9,0.4,0,0,6.6,2.5,2.3,2.1,72.2,1
GA00845,3,0,0,0,0.8,0.1,0.1,0.1,95.9,1
