NIDID,NID_Height,Maximum_Discharge,NID_Storage,Surface_Area_km2,Drai_ge_Area_km2,Mean_Depth,Catchment_Area_Surface_Area_Rati,Relative_Depth_as_percent_of_the,CLUSTER
AL00017,0.121521122,-0.042135757,0.453834488,0.439085431,,0.220028607,,-0.104103648,5
AL00665,-0.569202266,0.374521257,-0.646566768,-0.707205985,-0.459499644,-0.186939659,-0.077681146,0.312719455,8
AL01413,-0.273497159,0.487790369,-1.739750326,-0.687268245,0.511916392,-2.386805096,1.067297543,-1.606249942,6
AL01414,-0.599589401,-0.071837092,-0.745302916,0.258075985,0.256713985,-1.878665541,0.178637476,-1.800566746,8
AL01415,0.298693685,1.120156377,0.88819144,1.901981055,1.022718145,-1.185109589,0.074599338,-2.303120198,4
AL01416,0.563549456,1.105524134,0.39288892,1.221875065,1.102860882,-1.113922881,0.590670768,-1.784992685,2
AL01417,0.984664272,0.746651971,1.292204527,1.897410912,1.157897399,-0.37643116,0.238473106,-1.599551916,7
AL01418,0.865277605,1.357403428,0.80573321,1.267182594,1.217030419,-0.365014271,0.698668908,-1.166674949,7
AL01420,1.996027594,1.071439889,1.799296925,1.791003258,0.408543819,0.794575357,-0.588473822,-0.513774658,1
AL01421,0.322210288,1.085072754,-0.044326963,0.034803483,0.849935138,-0.141880843,1.023455487,-0.146260231,7
AL01422,-0.135869593,1.224065772,-0.627084808,-0.82376357,0.855386094,0.032334743,1.560906146,0.580890764,7
AL01423,0.81224451,1.388005346,0.745670786,0.876520971,1.257055564,0.121195723,0.987947034,-0.48330711,2
AL01424,0.589305865,1.310193619,0.578017467,0.773019589,1.244981948,-0.051054447,1.037570493,-0.563048722,2
AL01425,1.212014074,1.045698663,1.783437418,2.095279757,0.821357438,0.291594311,-0.284834388,-1.153691377,1
AL01426,0.757046209,1.4244125,0.375552086,0.379238668,0.943099836,0.157449675,0.921442181,-0.118144287,2
AL01427,0.651628905,1.444907988,0.869641078,1.087786983,0.922368819,0.03978029,0.458562291,-0.695625946,7
AL01429,0.047411036,0.174880725,4.71E-05,0.970888434,1.057343374,-1.50441938,0.691658524,-1.954798679,5
AL01430,-0.114234402,0.423263015,0.504497585,1.14178112,1.405024261,-0.768366202,1.000188725,-1.431905099,2
AL01431,-0.180207027,0.314909117,0.633741252,1.02999997,1.469247342,-0.338716894,1.145829596,-0.984706663,6
