NIDID,State,Latitude,Longitude,Year_Completed,Reservoir_Age,Hydraulic_Height,NID_Height,Maximum_Discharge,Maximum_Storage,Normal_Storage,NID_Storage,Surface_Area_km2,Size_Class,Drainage_Area_km2,Reservoir_Perimeter_km,Shoreline_Development_Index,Mean_Depth,Index_of_Basin_Permanence,Development_of_Volume,Maximum_Depth_in_ft_as_Hydraulic,Mean_Depth_Max_Depth_Ratio_Depth,Mean_Q,Catchment_Area_Surface_Area_Rati,Relative_Depth_as_percent_of_the,Surface_Area_Lake_Volume_Ratio,Lake_Volume_m3,AreaSqKm,Elevation,MEANV,STRAHLER,NUTCODE,PSEWER,PSEPTIC,POTHER,WATER,WETLANDS,URBGRASS,LURBAN,HURBAN,COMM,FORESTD,FORESTE,FORESTM,SHRUB,GRASS,PASTURE,CROPS,ORCHARDS,BARREN,TNLOADB,TPLOADB,TNYLDB,TPYLDB,TNCONCB,TPCONCB,TNLOADBW,TNYLDBW,TNCONCBW,TNLOAD,TPLOAD,TNYLD,TPYLD,TNCONC,TPCONC,TNPOINT,TPPOINT,TNFERT,TPFERT,TNATMOS,TNFOREST,TPFOREST,TNBARREN,TPBARREN,TNSHRUB,TPSHRUB,TNGRASS,TPGRASS,TNMAN,TPMAN,TNDFRAC,TPDFRAC,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,CLUSID,CONN_TR,X_NUTRI,ALGAE,SEDIMEN,SHOREER,NOCOVES,N_ALLOC,WS_AGRI,WS_ANIM,WS_LOGS,WS_MINE,WS_URBN,N_NUTRI,IN_TURB,OR_TURB,VAR_TUR,THERMAL,CONTAMN,POLL_PS,POLLNPS,total_impairment,WSA9,WSA9_NAME,Poll_clus
AL00017,AL,30.70833,-88.34167,1952,63,56,75,35000,136500,105000,136500,14.568696,Medium,0,97.26899248,7.188842487,37.91657962,0.7510226,2.031245337,56,0.677081779,165.605,0,0.268336293,0.112486206,129.5154,13.392,,1.2,1,9,29,70,1,0.2,0.8,0.5,0.2,0,0.1,5.8,33.5,28.6,0,0,15.6,12,0,2.7,15882,3926,130,32,0.2,0.05,21662,178,0.28,110429,4866,905,40,0.75,0.04,6,14,56,30,19,12,26,2,5,0,0,0,0,5,24,0.68465,0.21099,19.14299965,11.70266724,41.13126373,647.8327026,32.54399872,4.092000008,28.45199966,26.4386673,15.29733372,26.79199982,10.92666721,1670,174,87,17.50685501,480,336,468,403,CPL 3,2,1,2,2,1,1,1,1,1,1,0,3,1,2,2,2,1,2,2,3,31,CPL,Coastal Plains,5
AL09501,AL,34.42167,-86.39333,1939,76,78,94,650000,1049000,886000,1049000,284.089572,Large,63325.2555,1007.667724,16.86493195,14.94298564,0.92204372,0.574730217,78,0.191576739,304.61,222.9059829,0.02394806,0.259949783,1092.86328,212.577,169.5,1.23,2,9,21,76,3,0.3,6.5,0.3,0.7,0.1,0.8,25.9,7.4,15.7,0,0,28.4,13.4,0,0.6,62111,14885,100,24,0.16,0.04,85265,137,0.22,657397,85462,1057,137,2.45,0.33,8,7,34,12,17,8,8,0,0,0,0,0,0,33,73,0.86254,0.53495,15.41233349,12.95933342,38.99185562,779.0861816,31.95999908,-1.276000023,33.23600006,7.166666508,21.02266693,24.83200073,5.578666687,1410,163,80,19.63808441,419,274,301,392,SAP 1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0,0,3,3,24,SAP,Southern Appalachians,1
AL01416,AL,33.78333,-86.05334,1966,49,53,104,340000,121860,121860,121860,45.4664721,Medium,17093.934,373.5576959,15.62812768,10.84643705,2.485217494,0.613949267,53,0.204649756,10826.5,375.9679573,0.04345123,0.30248091,150.3118728,35.652,,3.05,4,11,61,37,1,1.6,0.5,0.4,1.2,0.2,0.8,32.8,19.2,25.6,0,0,11.2,4.6,0,1.8,1297722,208408,75,12,0.12,0.02,1811123,105,0.17,11287555,816656,652,47,1.18,0.09,15,14,21,10,23,18,19,2,2,0,0,0,0,23,55,0.86154,0.51364,16.14666748,12.99800014,39.69581985,760.9389648,32.29600143,-0.448000014,32.7440033,8.142000198,21.58399963,25.35266685,6.544666767,1382,164,75,20.31415749,424,263,312,383,SAP 1,1,2,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,2,0,1,16,SAP,Southern Appalachians,2
AL01426,AL,33.25333,-87.45,1968,47,108,120,639500,117990,117990,117990,13.354638,Medium,10927.16781,111.3163121,8.592858118,35.75446337,0.764859203,0.993179538,108,0.331059846,6933.08,818.230303,0.264286395,0.091760296,145.5383052,12.746,57,2.62,4,11,65,35,1,1.5,0.2,0.6,1.7,0.4,1,34.6,16.8,25.4,0,0,10.8,5,0,2,909706,122329,83,11,0.13,0.02,1213604,111,0.18,8711583,702164,794,64,1.43,0.12,19,20,16,5,19,16,16,2,1,0,0,0,0,28,57,0.89959,0.73333,16.76883316,13.05500031,39.86989975,758.4542236,32.87200165,0.128000006,32.7440033,8.803999901,22.23533249,25.91533279,7.199999809,1455,162,86,18.3511219,437,277,341,410,SAP 1,4,1,1,4,3,5,0,1,1,2,5,3,1,1,1,1,1,3,1,2,41,SAP,Southern Appalachians,2
AL00665,AL,31.385,-85.72167,1935,80,37,45,79900,17600,9000,17600,2.7518648,Small,214.96917,21.27324992,3.617555369,25.88229352,1.91628112,2.09856434,37,0.699521447,57.2767,78.11764706,0.421453645,0.247886269,11.10132,2.749,,0.51,2,9,97,3,0,0.9,2.6,0.6,1.3,0.2,0.7,19.9,26.3,29.9,0,0,4.5,9.4,0,3.6,21125,5797,80,22,0.16,0.05,28145,107,0.22,91303,3390,346,13,1.8,0.07,30,40,20,14,20,18,20,3,5,0,0,0,0,8,21,0.69952,0.32583,18.48233414,11.77933407,40.46768188,667.7588501,32.39200211,3.28399992,29.10800171,11.45733356,19.21066666,26.37199974,9.965332985,1312,140,70,19.93333435,385,251,359,367,CPL 4,3,2,1,3,3,3,1,3,1,3,0,2,3,3,3,3,1,3,2,3,46,CPL,Coastal Plains,8
AL01980,AL,32.83333,-88.16667,1977,38,46,56,225000,58000,45290,58000,25.899904,Medium,18679.00788,248.3241011,13.76463457,9.062479195,4.44512972,0.591031252,46,0.197010417,10282.8,721.2,0.048101492,0.463621664,55.8643092,14.485,33.2,3,4,9,62,36,2,1.3,8.9,0.2,0.6,0.1,0.4,26.5,12.6,18,0,0,14.1,14.4,0,2.8,1288886,405740,68,21,0.12,0.04,1766049,93,0.17,11973056,1029483,631,54,1.31,0.12,7,9,44,17,24,14,24,3,5,0,0,0,0,9,44,0.94106,0.91446,17.34516716,13.274333,40.53974152,751.4923706,33.2159996,0.472000003,32.74399948,9.510000229,22.68133354,26.3813324,7.857333183,1388,161,82,21.164608,429,257,304,398,CPL 3,1,2,1,3,3,3,0,1,1,2,1,1,0,3,3,3,0,1,1,2,32,CPL,Coastal Plains,8
AL01427,AL,33.45667,-87.355,1975,40,103,111,666000,296000,269215,296000,37.4132207,Medium,10310.75019,195.2558087,9.005053675,32.01723315,0.587993596,0.932540771,103,0.310846924,3784.99,275.5911303,0.141394284,0.112666222,332.0713182,16.641,,2.11,4,11,45,53,2,1.6,0.3,0.2,0.4,0,0.4,35,17.6,25,0,0,11.8,5.4,0,2.2,501003,68271,81,11,0.13,0.02,676751,109,0.18,5101564,478591,823,77,1.54,0.15,7,7,17,4,21,17,15,2,2,0,0,0,0,37,72,0.87089,0.61409,16.39033318,13.22200012,40.10069275,760.2533569,32.70399857,-0.268000007,32.97200012,8.372666359,21.90133286,25.5593338,6.788000107,1474,167,89,19.3987236,445,279,341,420,SAP 1,3,1,1,2,2,3,0,2,1,2,3,2,0,1,1,1,2,2,2,2,33,SAP,Southern Appalachians,7
AL01423,AL,32.61867,-86.25833,1928,87,89,125,595000,235000,235000,235000,27.518648,Medium,26327.24835,177.9298175,9.568196327,34.55874419,0.613830917,1.16490149,89,0.388300497,16632.1,956.7058824,0.177952875,0.094935167,289.8678,22.08,,3.49,4,9,59,39,1,1.7,0.8,0.4,1.1,0.2,0.7,33.8,18.7,26.2,0,0,9.9,4.7,0,1.7,1997160,364279,76,14,0.13,0.02,2747294,105,0.18,14490531,980934,553,37,0.98,0.07,15,15,20,10,24,20,25,2,2,0,0,0,0,20,48,0.9235,0.77845,17.99950027,12.59500027,40.36341476,721.9455566,33.13999939,1.93599999,31.20399857,10.33333302,23.22133255,26.62333298,8.830666542,1405,167,69,21.84133148,434,272,335,402,SAP 1,2,2,1,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,23,SAP,Southern Appalachians,2
AL01418,AL,32.9637,-86.5171,1914,101,86,130,560000,262800,262800,262800,48.56232,Medium,23535.23913,495.524192,20.05903518,21.89994972,1.528647636,0.763951735,86,0.254650578,15049.4,484.64,0.084889506,0.149810396,324.158544,50.617,,3.39,4,9,59,39,1,1.7,0.8,0.5,1.1,0.2,0.8,33.4,18.9,25.8,0,0,10.4,4.8,0,1.7,1824477,304030,77,13,0.13,0.02,2518293,106,0.17,13827729,952186,581,40,1.04,0.08,15,15,20,9,23,19,23,2,2,0,0,0,0,20,50,0.91322,0.7388,17.0625,13.08899975,40.94406891,732.2996826,32.77600098,0.808000028,31.96800041,9.360666275,22.35533333,25.86466599,7.799999714,1448,172,78,21.11642075,446,281,337,409,SAP 4,2,3,2,2,2,1,1,2,2,2,1,1,1,2,3,2,3,4,3,2,41,SAP,Southern Appalachians,7
AL01429,AL,32.77833,-87.84167,1958,57,65,71,53800,58650,49100,58650,31.565508,Medium,15047.8419,24.7658923,1.243490522,7.519213507,0.408921905,0.347040623,65,0.115680208,9820.04,476.7179487,0.036151526,0.521193726,60.563868,1.212,,2.95,4,9,62,37,1,1.6,3.3,0.5,1.5,0.4,0.9,32,16.7,26.1,0,0,9.9,5,0,2.1,1051471,200386,68,13,0.11,0.02,1402423,91,0.15,9648203,666413,624,43,1.1,0.08,19,21,16,6,21,17,19,2,2,0,0,0,0,25,52,0.95065,0.92109,17.43099976,13.21066666,40.60322571,747.0701294,33.27600098,0.74000001,32.5359993,9.662667274,22.77066612,26.42666626,8.013999939,1408,161,85,19.89821053,435,270,315,402,CPL 3,3,3,1,3,3,2,0,2,1,2,4,2,0,2,2,1,1,1,2,2,37,CPL,Coastal Plains,5
